ID;Crossing;Programme;Group;Duration;Start_green;End_green;Crossing_programme;Day_of_week;End_hour;End_minute;Start_hour;Start_minute
194;106;22;K3;75;10;47;10622;7;23;59;5;0
195;106;22;K4;75;21;47;10622;1;19;0;16;45
196;106;22;K4;75;21;47;10622;2;19;0;16;45
197;106;22;K4;75;21;47;10622;3;19;0;16;45
198;106;22;K4;75;21;47;10622;4;19;0;16;45
199;106;22;K4;75;21;47;10622;5;19;0;16;45
200;106;22;K4;75;21;47;10622;6;19;0;5;0
201;106;22;K4;75;21;47;10622;7;23;59;5;0
202;106;22;K5;75;27;4;10622;1;19;0;16;45
203;106;22;K5;75;27;4;10622;2;19;0;16;45
204;106;22;K5;75;27;4;10622;3;19;0;16;45
205;106;22;K5;75;27;4;10622;4;19;0;16;45
206;106;22;K5;75;27;4;10622;5;19;0;16;45
207;106;22;K5;75;27;4;10622;6;19;0;5;0
208;106;22;K5;75;27;4;10622;7;23;59;5;0
209;106;22;K6;75;50;4;10622;1;19;0;16;45
210;106;22;K6;75;50;4;10622;2;19;0;16;45
211;106;22;K6;75;50;4;10622;3;19;0;16;45
212;106;22;K6;75;50;4;10622;4;19;0;16;45
213;106;22;K6;75;50;4;10622;5;19;0;16;45
214;106;22;K6;75;50;4;10622;6;19;0;5;0
215;106;22;K6;75;50;4;10622;7;23;59;5;0
216;106;24;K1;60;45;20;10624;1;05;0;0;0
217;106;24;K1;60;45;20;10624;1;23;50;19;0
218;106;24;K1;60;45;20;10624;2;05;0;0;0
219;106;24;K1;60;45;20;10624;2;23;50;19;0
220;106;24;K1;60;45;20;10624;3;05;0;0;0
221;106;24;K1;60;45;20;10624;3;23;50;19;0
222;106;24;K1;60;45;20;10624;4;05;0;0;0
223;106;24;K1;60;45;20;10624;4;23;50;19;0
224;106;24;K1;60;45;20;10624;5;05;0;0;0
225;106;24;K1;60;45;20;10624;5;23;50;19;0
226;106;24;K1;60;45;20;10624;6;05;0;0;0
227;106;24;K1;60;45;20;10624;6;23;59;19;0
228;106;24;K1;60;45;20;10624;7;05;0;0;0
229;106;24;K2;60;11;20;10624;1;05;0;0;0
230;106;24;K2;60;11;20;10624;1;23;50;19;0
231;106;24;K2;60;11;20;10624;2;05;0;0;0
232;106;24;K2;60;11;20;10624;2;23;50;19;0
233;106;24;K2;60;11;20;10624;3;05;0;0;0
234;106;24;K2;60;11;20;10624;3;23;50;19;0
235;106;24;K2;60;11;20;10624;4;05;0;0;0
236;106;24;K2;60;11;20;10624;4;23;50;19;0
237;106;24;K2;60;11;20;10624;5;05;0;0;0
238;106;24;K2;60;11;20;10624;5;23;50;19;0
239;106;24;K2;60;11;20;10624;6;05;0;0;0
240;106;24;K2;60;11;20;10624;6;23;59;19;0
241;106;24;K2;60;11;20;10624;7;05;0;0;0
242;106;24;K3;60;14;40;10624;1;05;0;0;0
243;106;24;K3;60;14;40;10624;1;23;50;19;0
244;106;24;K3;60;14;40;10624;2;05;0;0;0
245;106;24;K3;60;14;40;10624;2;23;50;19;0
246;106;24;K3;60;14;40;10624;3;05;0;0;0
247;106;24;K3;60;14;40;10624;3;23;50;19;0
248;106;24;K3;60;14;40;10624;4;05;0;0;0
249;106;24;K3;60;14;40;10624;4;23;50;19;0
250;106;24;K3;60;14;40;10624;5;05;0;0;0
251;106;24;K3;60;14;40;10624;5;23;50;19;0
252;106;24;K3;60;14;40;10624;6;05;0;0;0
